Office for Lease - 9/16/2016,1,1,7677 W. Emerald St.,7677 W Emerald St,7677,Boise,Idaho,83704     ,3000 SF,1500 SF,Office for Lease - 9/16/2016,Medical Office,$1.04 /SF/Mo,$12.50 /SF/Yr,,Modified Gross,20333894,Steve Cannariato,FIELD UNAVAILABLE,stevec@hcollc.com,(208) 376-6800,Dental office with space #7677 available. Nice Floorplan  Lockbox on exterior doors. Please call listing agent for code.,http://www.loopnet.com/lid/20333894,
Office for Lease - 9/16/2016,7,3,The Watercooler,1401 W Idaho St,Unit 3,Boise,Idaho,83702     ,31533 SF,965 SF,Office for Lease - 9/16/2016,Retail (Other),Negotiable,Negotiable,,Other,20266528,Katherine Vila,LocalConstruct,katie@localconstruct.com,(208) 918-1036, ,http://www.loopnet.com/lid/20266528,
Office for Lease - 9/16/2016,7,4,The Watercooler,1401 W Idaho St,Unit 4,Boise,Idaho,83702     ,31533 SF,925 SF,Office for Lease - 9/16/2016,Retail (Other),Negotiable,Negotiable,,Other,20266528,Katherine Vila,LocalConstruct,katie@localconstruct.com,(208) 918-1036, ,http://www.loopnet.com/lid/20266528,
Office for Lease - 9/16/2016,7,5,The Watercooler,1401 W Idaho St,Unit 5,Boise,Idaho,83702     ,31533 SF,977 SF,Office for Lease - 9/16/2016,Retail (Other),Negotiable,Negotiable,, ,20266528,Katherine Vila,LocalConstruct,katie@localconstruct.com,(208) 918-1036, ,http://www.loopnet.com/lid/20266528,
Office for Lease - 9/16/2016,7,6,The Watercooler,1401 W Idaho St,Unit 6,Boise,Idaho,83702     ,31533 SF,800 SF,Office for Lease - 9/16/2016,Retail (Other),Negotiable,Negotiable,,Other,20266528,Katherine Vila,LocalConstruct,katie@localconstruct.com,(208) 918-1036, ,http://www.loopnet.com/lid/20266528,
Office for Lease - 9/16/2016,7,7,The Watercooler,1401 W Idaho St,Unit 7,Boise,Idaho,83702     ,31533 SF,612 SF,Office for Lease - 9/16/2016,Retail (Other),Negotiable,Negotiable,,Other,20266528,Katherine Vila,LocalConstruct,katie@localconstruct.com,(208) 918-1036, ,http://www.loopnet.com/lid/20266528,
Office for Lease - 9/16/2016,1,1,Chinden Business Center,5226-5290   Chinden Blvd.,5226,Boise,Idaho,83714     ,38188 SF,1814 SF,Office for Lease - 9/16/2016,Flex Space,$0.85 /SF/Mo,$10.20 /SF/Yr,,Modified Gross,19643662,Dan Minnaert,Thornton Oliver Keller,dan@tokcommercial.com,(208) 947-0845, ,http://www.loopnet.com/lid/19643662,
Office for Lease - 9/16/2016,2,1,Industrial Flex / Office Space For Lease,3132 Brown Street,1st Floor,Garden City,Idaho,83714     ,4454 SF,550 SF,Office for Lease - 9/16/2016,Office Building,$1 /SF/Mo,$12 /SF/Yr,,Modified Gross,19606388,DJ Thompson,FIELD UNAVAILABLE,dj.thompson@paccra.com,(208) 287-8438,$12.00/SF modified gross - tenant pays electricity and heat,http://www.loopnet.com/lid/19606388,
Office for Lease - 9/16/2016,2,2,Industrial Flex / Office Space For Lease,3132 Brown Street,2nd Floor,Garden City,Idaho,83714     ,4454 SF,243 SF,Office for Lease - 9/16/2016,Office Building,$1 /SF/Mo,$12 /SF/Yr,,Modified Gross,19606388,DJ Thompson,FIELD UNAVAILABLE,dj.thompson@paccra.com,(208) 287-8438,$12.00/SF modified gross - tenant pays electricity and heat,http://www.loopnet.com/lid/19606388,
Office for Lease - 9/16/2016,3,1,Shops on 5th,122 N. 5th Street,1,Boise,Idaho,83702     ,5610 SF,1805 SF,Office for Lease - 9/16/2016,Free Standing Bldg,Negotiable,Negotiable,,NNN,20227780,Brianna Miller,Thornton Oliver Keller,brianna@tokcommercial.com,(208) 947-5519, ,http://www.loopnet.com/lid/20227780,
Office for Lease - 9/16/2016,3,2,Shops on 5th,122 N. 5th Street,2,Boise,Idaho,83702     ,5610 SF,1805 SF,Office for Lease - 9/16/2016,Free Standing Bldg,Negotiable,Negotiable,,NNN,20227780,Brianna Miller,Thornton Oliver Keller,brianna@tokcommercial.com,(208) 947-5519, ,http://www.loopnet.com/lid/20227780,
Office for Lease - 9/16/2016,3,3,Shops on 5th,122 N. 5th Street,3,Boise,Idaho,83702     ,5610 SF,2000 SF,Office for Lease - 9/16/2016,Free Standing Bldg,Negotiable,Negotiable,,NNN,20227780,Brianna Miller,Thornton Oliver Keller,brianna@tokcommercial.com,(208) 947-5519, ,http://www.loopnet.com/lid/20227780,
Office for Lease - 9/16/2016,3,1,Plantation Shopping Center,6650 Glenwood Street,6742-A,Boise,Idaho,83714     ,,1420 SF,Office for Lease - 9/16/2016,Community Center,Negotiable,Negotiable,,NNN,19644273,Lew Goldman,Colliers International,lew.goldman@colliers.com,(208) 472-2847, ,http://www.loopnet.com/lid/19644273,
Office for Lease - 9/16/2016,3,2,Plantation Shopping Center,6650 Glenwood Street,6742-B,Boise,Idaho,83714     ,,1417 SF,Office for Lease - 9/16/2016,Community Center,Negotiable,Negotiable,,NNN,19644273,Lew Goldman,Colliers International,lew.goldman@colliers.com,(208) 472-2847, ,http://www.loopnet.com/lid/19644273,
Office for Lease - 9/16/2016,3,3,Plantation Shopping Center,6650 Glenwood Street,6742-C,Boise,Idaho,83714     ,,1417 SF,Office for Lease - 9/16/2016,Community Center,Negotiable,Negotiable,,NNN,19644273,Lew Goldman,Colliers International,lew.goldman@colliers.com,(208) 472-2847, ,http://www.loopnet.com/lid/19644273,
Office for Lease - 9/16/2016,1,1,1034 S La Pointe St,1034 La Pointe St,Space 1,Boise,Idaho,83706     ,2340 SF,2340 SF,Office for Lease - 9/16/2016,Free Standing Bldg,$1 /SF/Mo,$12 /SF/Yr,,NNN,20213602,Jay Story CCIM,Story Commercial LLC,story@storycommercial.com,(208) 841-8320, ,http://www.loopnet.com/lid/20213602,
Office for Lease - 9/16/2016,4,1,Owyhee Place,1109 Main Street,330,Boise,Idaho,83702     ,50000 SF,1309 SF,Office for Lease - 9/16/2016,Office Building,$1.83 /SF/Mo,$22 /SF/Yr,,Full Service,18062937,Guy Levingston,Intermountain Commercial Real Estate,guy@icrellc.com,(208) 286-2262,Building has undergone complete renovation with occupancy commencing in the Fall 2014! Onsite monthly parking permits available!,http://www.loopnet.com/lid/18062937,
Office for Lease - 9/16/2016,4,2,Owyhee Place,1109 Main Street,610 (divisible),Boise,Idaho,83702     ,50000 SF,5195 SF,Office for Lease - 9/16/2016,Office Building,$2 /SF/Mo,$24 /SF/Yr,,Full Service,18062937,Guy Levingston,Intermountain Commercial Real Estate,guy@icrellc.com,(208) 286-2262, ,http://www.loopnet.com/lid/18062937,
Office for Lease - 9/16/2016,4,3,Owyhee Place,1109 Main Street,450,Boise,Idaho,83702     ,50000 SF,3474 SF,Office for Lease - 9/16/2016,Office Building,$1.92 /SF/Mo,$23 /SF/Yr,,Full Service,18062937,Guy Levingston,Intermountain Commercial Real Estate,guy@icrellc.com,(208) 286-2262, ,http://www.loopnet.com/lid/18062937,
Office for Lease - 9/16/2016,4,4,Owyhee Place,1109 Main Street,260,Boise,Idaho,83702     ,50000 SF,3023 SF,Office for Lease - 9/16/2016,Office Building,$1.67 /SF/Mo,$20 /SF/Yr,,Full Service,18062937,Guy Levingston,Intermountain Commercial Real Estate,guy@icrellc.com,(208) 286-2262, ,http://www.loopnet.com/lid/18062937,
Office for Lease - 9/16/2016,3,1,State and Veterans,3813-3815 W State St,Front,Boise,Idaho,83703     ,4801 SF,1900 SF,Office for Lease - 9/16/2016,Free Standing Bldg,$0.92 /SF/Mo,$11 /SF/Yr,,NNN,20204458,Lawrence Ross,Michener Investments LLP,lawrence@michenerinvestments.com,(208) 336-3202, ,http://www.loopnet.com/lid/20204458,
Office for Lease - 9/16/2016,3,2,State and Veterans,3813-3815 W State St,Back,Boise,Idaho,83703     ,4801 SF,2900 SF,Office for Lease - 9/16/2016,Free Standing Bldg,$0.50 /SF/Mo,$6 /SF/Yr,,NNN,20204458,Lawrence Ross,Michener Investments LLP,lawrence@michenerinvestments.com,(208) 336-3202, ,http://www.loopnet.com/lid/20204458,
Office for Lease - 9/16/2016,3,3,State and Veterans,3813-3815 W State St,Combined,Boise,Idaho,83703     ,4801 SF,4800 SF,Office for Lease - 9/16/2016,Free Standing Bldg,$0.67 /SF/Mo,$8 /SF/Yr,,NNN,20204458,Lawrence Ross,Michener Investments LLP,lawrence@michenerinvestments.com,(208) 336-3202, ,http://www.loopnet.com/lid/20204458,
Office for Lease - 9/16/2016,4,1,Wells Fargo Center,877 W Main Street,600,Boise,Idaho,83702     ,185000 SF,1796 SF,Office for Lease - 9/16/2016,Office Building,$2 /SF/Mo,$24 /SF/Yr,,Full Service,19579653,Scott Feighner,Colliers International,scott.feighner@colliers.com,(208) 493-5107, ,http://www.loopnet.com/lid/19579653,
Office for Lease - 9/16/2016,4,2,Wells Fargo Center,877 W Main Street,607,Boise,Idaho,83702     ,185000 SF,1188 SF,Office for Lease - 9/16/2016,Office Building,$2 /SF/Mo,$24 /SF/Yr,,Full Service,19579653,Scott Feighner,Colliers International,scott.feighner@colliers.com,(208) 493-5107, ,http://www.loopnet.com/lid/19579653,
Office for Lease - 9/16/2016,4,3,Wells Fargo Center,877 W Main Street,500,Boise,Idaho,83702     ,185000 SF,12702 SF,Office for Lease - 9/16/2016,Office Building,$2 /SF/Mo,$24 /SF/Yr,,Full Service,19579653,Scott Feighner,Colliers International,scott.feighner@colliers.com,(208) 493-5107, ,http://www.loopnet.com/lid/19579653,
Office for Lease - 9/16/2016,4,4,Wells Fargo Center,877 W Main Street,200,Boise,Idaho,83702     ,185000 SF,14335 SF,Office for Lease - 9/16/2016,Office Building,$2 /SF/Mo,$24 /SF/Yr,,Full Service,19579653,Scott Feighner,Colliers International,scott.feighner@colliers.com,(208) 493-5107, ,http://www.loopnet.com/lid/19579653,
Office for Lease - 9/16/2016,8,1,Hoff Building,802 W. Bannock Street,Ste. LP100,Boise,Idaho,83702     ,87282 SF,1079 SF,Office for Lease - 9/16/2016,Office Building,$1.08 /SF/Mo,$13 /SF/Yr,,Full Service,17439829,Wendy Shoemaker,Intermountain Commercial Real Estate,wendy@icrellc.com,(208) 859-2816,Great small office in Lower Plaza of Hoff Building.  Single office with large reception area private restroom and storage.,http://www.loopnet.com/lid/17439829,
Office for Lease - 9/16/2016,8,2,Hoff Building,802 W. Bannock Street,LP107,Boise,Idaho,83702     ,87282 SF,1535 SF,Office for Lease - 9/16/2016,Office Building,$1.08 /SF/Mo,$13 /SF/Yr,,Full Service,17439829,Wendy Shoemaker,Intermountain Commercial Real Estate,wendy@icrellc.com,(208) 859-2816,Great Lower Level space in the Hoff Building.  Configured with 4 private offices/conference or break room and reception area.,http://www.loopnet.com/lid/17439829,
Office for Lease - 9/16/2016,8,3,Hoff Building,802 W. Bannock Street,304,Boise,Idaho,83702     ,87282 SF,1471 SF,Office for Lease - 9/16/2016,Office Building,$1.46 /SF/Mo,$17.50 /SF/Yr,,Full Service,17439829,Wendy Shoemaker,Intermountain Commercial Real Estate,wendy@icrellc.com,(208) 859-2816,North facing private office and large conference room with interior work room/conference room and reception.  Windows open!,http://www.loopnet.com/lid/17439829,
Office for Lease - 9/16/2016,8,4,Hoff Building,802 W. Bannock Street,Ste. 304A,Boise,Idaho,83702     ,87282 SF,1199 SF,Office for Lease - 9/16/2016,Office Building,$1.38 /SF/Mo,$16.50 /SF/Yr,,Full Service,17439829,Wendy Shoemaker,Intermountain Commercial Real Estate,wendy@icrellc.com,(208) 859-2816,Space consists of 4 private offices/open work room and reception.  Across the hall from common break room.  Can be combined with Suite 304.,http://www.loopnet.com/lid/17439829,
Office for Lease - 9/16/2016,8,5,Hoff Building,802 W. Bannock Street,LP109,Boise,Idaho,83702     ,87282 SF,831 SF,Office for Lease - 9/16/2016,Office Building,$1.08 /SF/Mo,$13 /SF/Yr,,Full Service,17439829,Wendy Shoemaker,Intermountain Commercial Real Estate,wendy@icrellc.com,(208) 859-2816, ,http://www.loopnet.com/lid/17439829,
Office for Lease - 9/16/2016,8,6,Hoff Building,802 W. Bannock Street,202,Boise,Idaho,83702     ,87282 SF,5537 SF,Office for Lease - 9/16/2016,Office Building,$1.54 /SF/Mo,$18.50 /SF/Yr,,Full Service,17439829,Wendy Shoemaker,Intermountain Commercial Real Estate,wendy@icrellc.com,(208) 859-2816, ,http://www.loopnet.com/lid/17439829,
Office for Lease - 9/16/2016,8,7,Hoff Building,802 W. Bannock Street,305,Boise,Idaho,83702     ,87282 SF,486 SF,Office for Lease - 9/16/2016,Office Building,$1.54 /SF/Mo,$18.52 /SF/Yr,,Full Service,17439829,Wendy Shoemaker,Intermountain Commercial Real Estate,wendy@icrellc.com,(208) 859-2816, ,http://www.loopnet.com/lid/17439829,
Office for Lease - 9/16/2016,8,8,Hoff Building,802 W. Bannock Street,LP103,Boise,Idaho,83702     ,87282 SF,1441 SF,Office for Lease - 9/16/2016,Office Building,$1.13 /SF/Mo,$13.50 /SF/Yr,,Full Service,17439829,Wendy Shoemaker,Intermountain Commercial Real Estate,wendy@icrellc.com,(208) 859-2816, ,http://www.loopnet.com/lid/17439829,
Office for Lease - 9/16/2016,8,1,Glenwood City Center,5111 - 5181 N. Glenwood St,5111,Boise,Idaho,83714     ,,1600 SF,Office for Lease - 9/16/2016,Strip Center,$0.75 /SF/Mo,$9 /SF/Yr,,NNN,19361491,Matt Mahoney,FIELD UNAVAILABLE,mattm@leeidaho.com,(208) 340-9780, ,http://www.loopnet.com/lid/19361491,
Office for Lease - 9/16/2016,8,2,Glenwood City Center,5111 - 5181 N. Glenwood St,5113,Boise,Idaho,83714     ,,1600 SF,Office for Lease - 9/16/2016,Strip Center,$0.75 /SF/Mo,$9 /SF/Yr,,NNN,19361491,Matt Mahoney,FIELD UNAVAILABLE,mattm@leeidaho.com,(208) 340-9780, ,http://www.loopnet.com/lid/19361491,
Office for Lease - 9/16/2016,8,3,Glenwood City Center,5111 - 5181 N. Glenwood St,5115,Boise,Idaho,83714     ,,1600 SF,Office for Lease - 9/16/2016,Strip Center,$0.75 /SF/Mo,$9 /SF/Yr,,NNN,19361491,Matt Mahoney,FIELD UNAVAILABLE,mattm@leeidaho.com,(208) 340-9780, ,http://www.loopnet.com/lid/19361491,
Office for Lease - 9/16/2016,8,4,Glenwood City Center,5111 - 5181 N. Glenwood St,5153,Boise,Idaho,83714     ,,815 SF,Office for Lease - 9/16/2016,Strip Center,$0.75 /SF/Mo,$9 /SF/Yr,,NNN,19361491,Matt Mahoney,FIELD UNAVAILABLE,mattm@leeidaho.com,(208) 340-9780, ,http://www.loopnet.com/lid/19361491,
Office for Lease - 9/16/2016,8,5,Glenwood City Center,5111 - 5181 N. Glenwood St,5169,Boise,Idaho,83714     ,,1220 SF,Office for Lease - 9/16/2016,Strip Center,$0.75 /SF/Mo,$9 /SF/Yr,,NNN,19361491,Matt Mahoney,FIELD UNAVAILABLE,mattm@leeidaho.com,(208) 340-9780, ,http://www.loopnet.com/lid/19361491,
Office for Lease - 9/16/2016,8,6,Glenwood City Center,5111 - 5181 N. Glenwood St,5171,Boise,Idaho,83714     ,,1420 SF,Office for Lease - 9/16/2016,Strip Center,$0.75 /SF/Mo,$9 /SF/Yr,,NNN,19361491,Matt Mahoney,FIELD UNAVAILABLE,mattm@leeidaho.com,(208) 340-9780, ,http://www.loopnet.com/lid/19361491,
Office for Lease - 9/16/2016,8,7,Glenwood City Center,5111 - 5181 N. Glenwood St,5163,Boise,Idaho,83714     ,,2840 SF,Office for Lease - 9/16/2016,Strip Center,$0.75 /SF/Mo,$9 /SF/Yr,,NNN,19361491,Matt Mahoney,FIELD UNAVAILABLE,mattm@leeidaho.com,(208) 340-9780, ,http://www.loopnet.com/lid/19361491,
Office for Lease - 9/16/2016,8,8,Glenwood City Center,5111 - 5181 N. Glenwood St,FIELD UNAVAILABLE,Boise,Idaho,83714     ,,11263 SF,Office for Lease - 9/16/2016,Strip Center,$0.75 /SF/Mo,$9 /SF/Yr,,NNN,19361491,Matt Mahoney,FIELD UNAVAILABLE,mattm@leeidaho.com,(208) 340-9780, ,http://www.loopnet.com/lid/19361491,
Office for Lease - 9/16/2016,1,1,Build To Suit Opportunity,4295-4299 W Chinden Blvd, ,Garden City,Idaho,83714     ,1800 SF,1800 SF,Office for Lease - 9/16/2016,Retail (Other),Negotiable,Negotiable,,Other,20182012,Chase Erkins,FIELD UNAVAILABLE,chasee@leeidaho.com,(208) 789-4900, ,http://www.loopnet.com/lid/20182012,
Office for Lease - 9/16/2016,2,1,FIELD UNAVAILABLE,6202 W State St,6202,Boise,Idaho,83703     ,,6800 SF,Office for Lease - 9/16/2016,Strip Center,$1 /SF/Mo,$12 /SF/Yr,,NNN,20167891,Chris Novak,KW Commercial Real Estate,cnovak14@yahoo.com,(208) 869-4713,FIELD UNAVAILABLE,http://www.loopnet.com/lid/20167891,
Office for Lease - 9/16/2016,2,2,FIELD UNAVAILABLE,6202 W State St,6204,Boise,Idaho,83703     ,,1360 SF,Office for Lease - 9/16/2016,Strip Center,$1 /SF/Mo,$12 /SF/Yr,,NNN,20167891,Chris Novak,KW Commercial Real Estate,cnovak14@yahoo.com,(208) 869-4713,Open space with bathroom,http://www.loopnet.com/lid/20167891,
Office for Lease - 9/16/2016,2,1,,1619 W Jefferson St,A,Boise,Idaho,83702     ,3188 SF,1700 SF,Office for Lease - 9/16/2016,Office Building,$1.18 /SF/Mo,$14.12 /SF/Yr,,Full Service,20156024,Lawrence Ross,Michener Investments LLP,lawrence@michenerinvestments.com,(208) 336-3202,First floor with reception 3 offices large open office area kitchen/break room mail/print room and private ADA restroom,http://www.loopnet.com/lid/20156024,
Office for Lease - 9/16/2016,2,2,,1619 W Jefferson St,B,Boise,Idaho,83702     ,3188 SF,650 SF,Office for Lease - 9/16/2016,Office Building,$1.38 /SF/Mo,$16.62 /SF/Yr,,Full Service,20156024,Lawrence Ross,Michener Investments LLP,lawrence@michenerinvestments.com,(208) 336-3202,2 large open offices (or office with reception in the front of the building with a fireplace and private ADA restroom,http://www.loopnet.com/lid/20156024,
Office for Lease - 9/16/2016,3,1,,4795 W Emerald Street,Suite M,Boise,Idaho,83706     ,14956 SF,1144 SF,Office for Lease - 9/16/2016,Office Building,$0.73 /SF/Mo,$8.75 /SF/Yr,,Modified Gross,18856803,Scott Raeber,Colliers International,scott.raeber@colliers.com,(208) 472-2817, ,http://www.loopnet.com/lid/18856803,
Office for Lease - 9/16/2016,3,2,,4795 W Emerald Street,Suite J,Boise,Idaho,83706     ,14956 SF,1034 SF,Office for Lease - 9/16/2016,Office Building,$0.69 /SF/Mo,$8.25 /SF/Yr,,Modified Gross,18856803,Scott Raeber,Colliers International,scott.raeber@colliers.com,(208) 472-2817, ,http://www.loopnet.com/lid/18856803,
Office for Lease - 9/16/2016,3,3,,4795 W Emerald Street,Suite A,Boise,Idaho,83706     ,14956 SF,3240 SF,Office for Lease - 9/16/2016,Office Building,$0.77 /SF/Mo,$9.25 /SF/Yr,,NNN,18856803,Scott Raeber,Colliers International,scott.raeber@colliers.com,(208) 472-2817,- Free standing building.  
- Open office area private offices conference rooms and break room.  
- Space is occupied contact agent for showing,http://www.loopnet.com/lid/18856803,
Office for Lease - 9/16/2016,2,1,Crestwood Plaza,7750 W Crestwood Dr,Suite 4,Boise,Idaho,83704     ,,1250 SF,Office for Lease - 9/16/2016,Strip Center,$0.86 /SF/Mo,$10.32 /SF/Yr,,Modified Net,20091742,Tricia Callies,KW Commercial Real Estate,callies@mindspring.com,(208) 412-4771,Suite 4 is currently being remodeled. This suite is an end unit with a very open space great for retail or office use.,http://www.loopnet.com/lid/20091742,
Office for Lease - 9/16/2016,2,2,Crestwood Plaza,7750 W Crestwood Dr,Suite 3,Boise,Idaho,83704     ,,1250 SF,Office for Lease - 9/16/2016,Strip Center,$0.86 /SF/Mo,$10.32 /SF/Yr,,Modified Net,20091742,Tricia Callies,KW Commercial Real Estate,callies@mindspring.com,(208) 412-4771,Suite 3 was previously a mission and could make a good office or retail space.,http://www.loopnet.com/lid/20091742,
Office for Lease - 9/16/2016,1,1,Downtown Owner / User Opportunity,420 W Main St,Unit 101,Boise,Idaho,83702     ,50000 SF,5870 SF,Office for Lease - 9/16/2016,Office Building,$2 /SF/Mo,$24 /SF/Yr,,NNN,20146606,Jennifer McEntee,FIELD UNAVAILABLE,jennifer.mcentee@paccra.com,(208) 941-9568,Office or Retail Condominium,http://www.loopnet.com/lid/20146606,
Office for Lease - 9/16/2016,1,1,Retail Suite | State Street Frontage,4550-4590 W State St,Suite 4550,Boise,Idaho,83703     ,9255 SF,1700 SF,Office for Lease - 9/16/2016,Free Standing Bldg,$0.83 /SF/Mo,$10 /SF/Yr,,Modified Gross,20137879,David Gronbeck,FIELD UNAVAILABLE,davidg@leeidaho.com,(208) 861-6664, ,http://www.loopnet.com/lid/20137879,
Office for Lease - 9/16/2016,5,1,BoDo,750 Broad Street,Bldg. 8 Ste 451,Boise,Idaho,83702     ,,925 SF,Office for Lease - 9/16/2016,Specialty Center,Negotiable,Negotiable,,NNN,16819959,Mallisa Jackson,Colliers International,mallisa.jackson@colliers.com,(208) 353-1597,Contact agent for details,http://www.loopnet.com/lid/16819959,
Office for Lease - 9/16/2016,5,2,BoDo,750 Broad Street,Bldg. 8 Ste 473,Boise,Idaho,83702     ,,1046 SF,Office for Lease - 9/16/2016,Specialty Center,Negotiable,Negotiable,,NNN,16819959,Mallisa Jackson,Colliers International,mallisa.jackson@colliers.com,(208) 353-1597,Contact agent for details,http://www.loopnet.com/lid/16819959,
Office for Lease - 9/16/2016,5,3,BoDo,750 Broad Street,328,Boise,Idaho,83702     ,,10360 SF,Office for Lease - 9/16/2016,Specialty Center,Negotiable,Negotiable,,NNN,16819959,Mallisa Jackson,Colliers International,mallisa.jackson@colliers.com,(208) 353-1597, ,http://www.loopnet.com/lid/16819959,
Office for Lease - 9/16/2016,5,4,BoDo,750 Broad Street,333,Boise,Idaho,83702     ,,2700 SF,Office for Lease - 9/16/2016,Specialty Center,Negotiable,Negotiable,,NNN,16819959,Mallisa Jackson,Colliers International,mallisa.jackson@colliers.com,(208) 353-1597, ,http://www.loopnet.com/lid/16819959,
Office for Lease - 9/16/2016,5,5,BoDo,750 Broad Street,778,Boise,Idaho,83702     ,,1226 SF,Office for Lease - 9/16/2016,Specialty Center,$1.83 /SF/Mo,$22 /SF/Yr,,NNN,16819959,Mallisa Jackson,Colliers International,mallisa.jackson@colliers.com,(208) 353-1597, ,http://www.loopnet.com/lid/16819959,
Office for Lease - 9/16/2016,1,1,Office / Medical / Special Purpose Space,1122 North Liberty Street,Available,Boise,Idaho,83704     ,28377 SF,14196 SF,Office for Lease - 9/16/2016,Office Building,Negotiable,Negotiable,,Full Service,20114249,Chrissy Smith,FIELD UNAVAILABLE,chrissy.smith@paccra.com,(208) 287-8904,Carrington College Campus in Boise,http://www.loopnet.com/lid/20114249,
